frame,frame_checksum,normal_unique_teps,normal_scoring_calls,normal_bound_checks,normal_pdb_lookups,normal_bound_cycles,compact_unique_teps,compact_scoring_calls,compact_bound_checks,compact_table_lookups,compact_allocations,cycles_p1,cycles_p2,cycles_p4,cycles_p8,cycles_p16,word_mismatch,metric_mismatch,tie_mismatch
179,14839730370691303348,256674,257749,37840,372541,57314,147002,148077,37274,3015975,37566,313129,200288,143913,114794,101783,0,0,0
180,8494664764710398551,6548,7444,14215,18954,2916,3889,4700,11642,598829,3570,54741,30350,18106,11946,8866,0,0,0
181,8810377357959095360,419298,420373,41046,463827,71358,329939,331014,41046,3157405,38135,326342,213640,158024,130277,117126,0,0,0
182,13347861167049037999,217947,219022,36848,353041,54314,121456,122531,35676,3013185,37053,301554,191793,137541,110034,96862,0,0,0
183,3415214943306286275,459142,460217,41612,515190,79260,405345,406420,41612,3140235,38178,335542,221485,165311,137119,124107,0,0,0
184,1542034587360853647,449459,450534,41687,522678,80412,375985,377060,41687,3172203,38200,340909,225217,167694,139380,125748,0,0,0
185,7041236488380273089,327396,328471,40235,460135,70790,195277,196352,40184,3136836,38166,328154,214056,157142,128791,115118,0,0,0
186,6577698462137654446,460423,461498,42172,527644,81176,402784,403859,42172,3181049,38202,330950,220673,166436,138721,125610,0,0,0
187,11309444907707955184,23815,24872,19443,74178,11412,16281,17323,17504,1510254,12062,140775,80970,50918,35933,29026,0,0,0
188,9315095082053299105,302136,303211,39233,425568,65472,196105,197180,38951,3083632,37872,316765,206109,150695,122759,109723,0,0,0
189,10441608174670523033,171857,172932,36213,321152,49408,85127,86202,34961,2839730,34498,288314,181918,128207,102099,89634,0,0,0
190,3211213526803787105,363825,364900,40088,438204,67416,293796,294871,40072,3080710,38144,323140,209674,153909,126195,113182,0,0,0
191,5014579224550413418,511596,512671,42321,512148,78792,480570,481645,42321,3186123,38202,333178,220648,164563,137041,124130,0,0,0
192,6776110149503520123,314771,315846,34226,322010,49540,297294,298369,32218,2815306,33821,288615,182210,128525,101947,89135,0,0,0
193,7437459860575075213,264563,265638,39227,403377,62058,158875,159950,39060,3004166,36717,306417,198614,144849,117836,105319,0,0,0
194,6415209840824992977,406757,407832,40685,488917,75218,329638,330713,40685,3157603,38032,325189,215068,159430,132719,119918,0,0,0
195,13482969421180024189,546367,547442,42676,539409,82986,523804,524879,42676,3221435,38208,342306,227245,170226,141348,128330,0,0,0
196,9537082997228313597,391530,392605,41667,502580,77320,286270,287345,41667,3154854,38036,327073,217221,161849,135392,122490,0,0,0
197,10133171182378550604,464202,465277,42213,514436,79144,377537,378612,42213,3163910,38204,329322,218859,163805,136283,123172,0,0,0
198,4528660790043124283,292726,293801,36862,333008,51232,255776,256851,35162,3020062,36380,300218,189726,134295,106611,93855,0,0,0
199,16361428497044398582,427821,428896,41051,489190,75260,361329,362404,41051,3057060,38128,334701,219420,162375,133852,120056,0,0,0
200,14106406521528181157,514191,515266,41993,511953,78762,485989,487064,41993,3231381,38208,331421,219824,164868,136898,123639,0,0,0
201,8559632108082708792,367891,368966,41890,495729,76266,265741,266816,41890,3110991,38206,323387,214745,160189,133067,119916,0,0,0
202,10235639668083527071,495579,496654,42058,515060,79240,453659,454734,42058,3173836,38198,333703,221042,165122,137188,123670,0,0,0
203,17337525345261072769,533181,534256,42591,505115,77710,508148,509223,42591,3121365,38198,330589,218687,162571,135488,122577,0,0,0
204,12097651746612328543,465904,466979,41502,498355,76670,400172,401247,41502,3141463,38202,323099,213913,160129,133917,121104,0,0,0
205,16676085119046435535,234458,235533,38725,412451,63454,125232,126307,38428,3083889,37887,313978,203259,148057,120425,106957,0,0,0
206,10866156254071543518,259481,260556,37018,352833,54282,159268,160343,35965,2919685,37184,299895,191315,137117,110688,97694,0,0,0
207,2718174764656399564,119786,120861,30323,190944,29376,58392,59467,26265,2521245,27734,248278,149209,100324,75437,62806,0,0,0
