frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
102,9300506978581312426,1350367836935304870,150936,152011,40656,3068564,54209506,39800,517400,0,0,0,0,517400,34823360,9728704,101870790,14485939,34612994,5110573,0,0,0,0
103,17640199488338210563,802440088876334594,145209,146284,40736,3156908,54777346,40707,529191,0,0,0,0,529191,35613903,9362176,102951069,15036216,34623394,5117736,0,0,0,0
104,7528972887321522470,8947634756366866687,108346,109421,40904,3131191,53286402,37189,483457,0,0,0,0,483457,32550609,7002944,96012050,13514579,34652566,5119257,0,0,0,0
105,3331301268401570949,11179104202945140617,92564,93639,39164,3126078,51072320,31273,406549,0,0,0,0,406549,27382329,5992896,87612787,11882208,34138013,5052099,0,0,0,0
106,9634326897132195769,9737573833491439735,164242,165317,40597,3067226,55558542,44015,572195,0,0,0,0,572195,38492623,10580288,107739276,15882815,34574098,5101629,0,0,0,0
107,5564694400914521148,13192599877808201160,138290,139365,41298,3223143,56276870,45920,596960,0,0,0,0,596960,40159392,8919360,108620063,16387761,34763157,5125952,0,0,0,0
108,7364351477624240731,11515980236384986636,213181,214256,41879,3254075,60099273,58022,754286,0,0,0,0,754286,50707072,13712384,127814683,20066306,34907275,5125692,0,0,0,0
109,10816362873225505153,13562934150647224734,8678,9741,11949,1122186,16186950,1421,18473,0,0,0,0,18473,1262131,623424,19206640,366197,12811318,3009435,0,0,0,0
110,1504602427833427066,17494325283045092023,179508,180583,41437,3047013,57949996,50610,657930,0,0,0,0,657930,44246072,11557312,116841830,18026359,34797958,5125679,0,0,0,0
111,14630946136997394707,7499687124249330335,233620,234695,42289,3199708,62177076,66057,858741,0,0,0,0,858741,57711511,15020480,138151064,22052875,34994505,5129696,0,0,0,0
112,13716164394356899035,6840346086988944479,127932,129007,41199,3114436,55111524,42293,549809,0,0,0,0,549809,36999703,8256448,103523310,15254694,34739094,5117736,0,0,0,0
113,2401420817805416216,15473241626242985348,47396,48471,39465,3147564,46350694,19569,254397,0,0,0,0,254397,17190199,3102144,69830066,7063082,34211606,5076006,0,0,0,0
114,17693655737688215379,9034970174342985988,224475,225550,41524,3185637,60087378,58188,756444,0,0,0,0,756444,50847576,14435200,128597315,20138898,34825804,5122676,0,0,0,0
115,10293853982205095098,2548786864805232525,23213,24276,24649,2457042,31530967,5297,68861,0,0,0,0,68861,4679363,1553664,40245685,1720966,25486136,4323865,0,0,0,0
116,11797299450381563433,4981985418313192895,35282,36347,34882,2874844,40307189,10148,131924,0,0,0,0,131924,8952606,2326208,54495729,3236363,32239337,4831489,0,0,0,0
117,3019307246554859894,2467476317066320362,206391,207466,41623,3132545,59545707,56532,734916,0,0,0,0,734916,49407098,13277824,125404797,19570863,34851973,5122871,0,0,0,0
118,3945648719323444312,8340174509884755781,42821,43895,39084,3114571,44235659,15239,198107,0,0,0,0,198107,13415077,2809280,63613671,5129085,34070608,5035966,0,0,0,0
119,3571740835977137612,8568961206573942290,39116,40189,37228,3041471,43166565,13981,181753,0,0,0,0,181753,12307347,2572096,61124707,4801953,33379463,4985149,0,0,0,0
120,15688029600598372724,5720259538154688569,54945,56020,36346,3140065,45544278,19687,255931,0,0,0,0,255931,17269733,3585280,69575702,7639970,32979622,4924686,0,0,0,0
121,4809550328998405781,3447708533526052803,36132,37196,35459,2949754,40786876,10678,138814,0,0,0,0,138814,9416888,2380544,55569521,3483142,32480383,4823351,0,0,0,0
122,16673457341036131784,14298680398766734600,99158,100233,40866,3201103,51696658,32359,420667,0,0,0,0,420667,28343497,6414912,89697036,11935872,34637915,5122871,0,0,0,0
123,4709207850192104690,18417227130193309285,149693,150768,40654,3178200,55320278,42801,556413,0,0,0,0,556413,37435853,9649152,105624137,15622204,34586773,5111301,0,0,0,0
124,14987279176759560827,10079778277595310005,37089,38153,36382,3003767,42279016,12697,165061,0,0,0,0,165061,11182457,2441792,58943414,4369222,32981676,4928118,0,0,0,0
125,12455518455682061704,8593739427660388554,127761,128836,40334,3136763,52222859,34884,453492,0,0,0,0,453492,30537702,8245504,94183162,12624547,34485204,5113108,2560,0,0,0
126,16166164817434319113,16039466851637927744,74557,75632,37879,3017922,48702225,25969,337597,0,0,0,0,337597,22752353,4840448,79350827,10055084,33659119,4988022,0,0,0,0
127,12283571664785387763,3877277643710428228,191330,192405,41798,3130507,58205524,52486,682318,0,0,0,0,682318,45885086,12313920,119576835,18191459,34885734,5128331,0,0,0,0
128,10640180730474882598,15655919395236699445,40905,41978,36494,3029632,43832087,16013,208169,0,0,0,0,208169,14071239,2686592,63656044,5873257,33065266,4893564,0,0,0,0
129,3812952749990704472,2212017093938771090,169200,170275,39626,3070124,53554878,38498,500474,0,0,0,0,500474,33679022,10897600,101241250,14227733,34251594,5075551,0,0,0,0
130,8985774340266909244,3447487132174722669,204317,205392,42127,3163019,60230521,59579,774527,0,0,0,0,774527,52067015,13145088,128647770,20145203,34958911,5126407,0,0,0,0
131,3906820549000075022,12607135354281993224,34164,35227,34992,2929955,40301924,9815,127595,0,0,0,0,127595,8664201,2254528,54185600,3013387,32425536,4863001,0,0,0,0
132,6751380587087841664,6863978732371042631,247476,248551,42374,3175133,63007867,69464,903032,0,0,0,0,903032,60680022,15907264,142812660,22868859,35010287,5128721,0,0,0,0
133,7488812991156845180,5773145602443517632,221991,223066,41945,3124999,60484411,59969,779597,0,0,0,0,779597,52403975,14276224,130331554,20440108,34918858,5125445,0,0,0,0
134,7821847056005621223,191532722549337480,13085,14148,15566,1512554,20609238,1916,24908,0,0,0,0,24908,1703416,905472,24746246,431106,16659279,3518853,0,0,0,0
135,12217153512566328451,12911349674356922468,140014,141089,40924,3134085,55902704,44667,580671,0,0,0,0,580671,39063713,9029696,107171122,16124836,34667295,5110573,0,0,0,0
136,8806254138228182290,12141048397107289109,197954,199029,41787,3163133,58702553,54879,713427,0,0,0,0,713427,47968843,12737856,122614172,18706064,34878298,5118191,0,0,0,0
137,12733111632922560012,5939830085542312002,206941,208016,41873,3202644,59504809,56346,732498,0,0,0,0,732498,49247406,13313024,125309756,19479772,34899085,5125952,0,0,0,0
138,2501735311241351195,3322711624836827434,128747,129822,40736,3126197,53348360,37005,481065,0,0,0,0,481065,32387927,8308608,97211828,13657358,34599435,5091567,0,0,0,0
139,12960487387062707668,18328035585533126377,118191,119266,36752,2990962,46911020,25079,326027,0,0,0,0,326027,21970559,7633024,79542317,8891025,33064304,4955691,0,0,0,0
140,17814072604886395448,1215862796048831778,119451,120526,41193,3179926,53632033,38279,497627,0,0,0,0,497627,33502963,7713664,98069779,13778466,34731424,5122143,0,0,0,0
141,11285652319209009385,11557817986015518936,173483,174558,40159,3099432,54891785,42203,548639,0,0,0,0,548639,36910211,11171712,106113299,15444026,34390421,5057338,0,0,0,0
142,11014088713147922632,847894995652931219,170086,171161,41888,3234237,57847140,51070,663910,0,0,0,0,663910,44653050,10954304,116730619,17809870,34914399,5122871,0,0,0,0
143,406463308745511163,14319036669596667563,153711,154786,40633,3197023,53996969,37970,493610,0,0,0,0,493610,33228858,9906304,100369787,14304446,34590530,5101993,0,0,0,0
144,17534504696866617849,14315662837512484705,102149,103224,40899,3104068,53105611,36658,476554,0,0,0,0,476554,32087614,6606336,94944528,13339170,34648705,5117736,0,0,0,0
145,13198556944138723303,15078950454953880413,91401,92476,41639,3044330,52921219,36395,473135,0,0,0,0,473135,31866497,5918464,93792149,12958829,34839519,5122871,0,0,0,0
146,5770311749891783580,12008452308575766238,30707,31781,31591,2738706,37261562,7486,97318,0,0,0,0,97318,6616116,2033984,48681959,2224209,30381806,4655547,0,0,0,0
147,15785516674910074395,11053004304439769334,22914,23976,24568,2474801,30828954,4514,58682,0,0,0,0,58682,3996278,1534464,38859065,1275729,25296648,4256577,0,0,0,0
148,13721158072033547493,15541261378078459544,188567,189642,41349,3181573,58199115,52559,683267,0,0,0,0,683267,45942637,12137088,119501762,18303077,34780330,5115708,0,0,0,0
