frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
134,7821847056005621223,191532722549337480,1423,2210,3879,575203,3192709,82,1066,346773,5918,340855,23915501,1066,75686,141440,27904418,0,0,3192709,0,0,0,0
135,12217153512566328451,12911349674356922468,2181,3090,4009,760487,5109481,210,2730,705949,37556,668393,48635369,2730,193830,197760,54900936,0,0,5109481,0,0,0,0
136,8806254138228182290,12141048397107289109,2156,3204,4120,770419,4771936,206,2678,709116,39969,669147,48849066,2678,190138,205056,54790735,0,0,4771936,0,0,0,0
137,12733111632922560012,5939830085542312002,2262,3120,4036,767910,4939480,216,2808,709479,39503,669976,48875045,2808,199368,199680,54985519,0,0,4939480,0,0,0,0
138,2501735311241351195,3322711624836827434,2169,3180,4045,770805,5088187,203,2639,703422,36843,666579,48462432,2639,187369,203520,54716358,0,0,5088187,0,0,0,0
139,12960487387062707668,18328035585533126377,1975,3014,3940,753386,4549285,169,2197,659523,21168,638355,45464751,2197,155987,192896,51120245,0,0,4549285,0,0,0,0
140,17814072604886395448,1215862796048831778,2073,3111,4028,771648,5121688,217,2821,706371,36968,669403,48665663,2821,200291,199104,54962422,0,0,5121688,0,0,0,0
141,11285652319209009385,11557817986015518936,2284,3137,4058,763766,4738591,186,2418,695676,35194,660482,47931256,2418,171678,200768,53810117,0,0,4738591,0,0,0,0
142,11014088713147922632,847894995652931219,2068,3111,4028,776832,5121051,217,2821,712027,39433,672594,49050997,2821,200291,199104,55352303,0,0,5121051,0,0,0,0
143,406463308745511163,14319036669596667563,2233,3078,3998,769893,5016817,203,2639,702353,35459,666894,48391439,2639,187369,196992,54566508,0,0,5016817,0,0,0,0
144,17534504696866617849,14315662837512484705,2192,3101,4019,751750,5115916,213,2769,703656,36075,667581,48480114,2769,196599,198464,54746862,0,0,5115916,0,0,0,0
145,13198556944138723303,15078950454953880413,2121,3167,4083,747094,4920760,212,2756,706231,37288,668943,48655363,2756,195676,202688,54725664,0,0,4920760,0,0,0,0
146,5770311749891783580,12008452308575766238,1794,2778,3713,722564,4410341,142,1846,607159,16410,590749,41861151,1846,131066,177792,47306627,0,0,4410341,0,0,0,0
147,15785516674910074395,11053004304439769334,1556,2561,3671,686948,4061356,118,1534,504284,12232,492052,34771132,1534,108914,163904,39795925,0,0,4061356,0,0,0,0
148,13721158072033547493,15541261378078459544,2224,3200,4072,774402,5115253,214,2782,709934,40277,669657,48904892,2782,197522,204800,55200941,0,0,5115253,0,0,0,0
149,17324773251166613531,9946066183996860796,1586,2561,3621,695198,4061356,118,1534,506211,11213,494998,34906133,1534,108914,163904,39939126,0,0,4061356,0,0,0,0
150,562156214216318010,245996296028465657,2300,3262,4132,752223,4971876,217,2821,714195,42424,671771,49194607,2821,200291,208768,55331897,0,0,4971876,0,0,0,0
