frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
133,7488812991156845180,5773145602443517632,41431,42493,41945,3080593,34716370,6099,79287,473599,473599,0,31731133,79287,5470933,2719552,77760526,0,34713198,3172,0,0,0,0
134,7821847056005621223,191532722549337480,13085,14148,15566,1473226,16604484,1124,14612,9225,9225,0,618075,14612,1008228,905472,20625051,0,16604484,0,0,0,0,0
135,12217153512566328451,12911349674356922468,40295,41359,40924,3091562,34659911,5670,73710,387011,387011,0,25929737,73710,5086016,2646976,71455126,0,34658351,1560,0,0,0,0
136,8806254138228182290,12141048397107289109,41258,42321,41787,3119291,34736676,6057,78741,432852,432852,0,29001084,78741,5433155,2708544,75040537,0,34735584,1092,0,0,0,0
137,12733111632922560012,5939830085542312002,41349,42414,41873,3159206,34799986,6071,78923,446915,446915,0,29943305,78923,5445687,2714496,76104553,0,34799986,0,0,0,0,0
138,2501735311241351195,3322711624836827434,40146,41210,40736,3083683,34543899,5593,72709,322423,322423,0,21602341,72709,5016921,2637440,66925020,0,34543899,0,0,0,0,0
139,12960487387062707668,18328035585533126377,35822,36888,36752,2947285,32888076,4488,58344,194701,194701,0,13044967,58344,4025736,2360832,55303648,0,32888076,0,0,0,0,0
140,17814072604886395448,1215862796048831778,40595,41657,41193,3137003,34727498,5786,75218,333602,333602,0,22351334,75218,5190042,2666048,68113118,0,34727498,0,0,0,0,0
141,11285652319209009385,11557817986015518936,39471,40534,40159,3055777,34161075,5405,70265,351165,351165,0,23528055,70265,4848285,2594176,68227527,0,34161075,0,0,0,0,0
142,11014088713147922632,847894995652931219,41369,42432,41888,3191227,34906638,6123,79599,418927,418927,0,28068109,79599,5492331,2715648,74415841,0,34906638,0,0,0,0,0
143,406463308745511163,14319036669596667563,39981,41044,40633,3153682,34542417,5590,72670,321063,321063,0,21511221,72670,5014230,2626816,66888999,0,34542417,0,0,0,0,0
144,17534504696866617849,14315662837512484705,40268,41332,40899,3061870,34658182,5658,73554,328033,328033,0,21978211,73554,5075434,2645248,67459844,0,34638162,20020,0,0,0,0
145,13198556944138723303,15078950454953880413,41089,42151,41639,3001615,34753225,5947,77311,324603,324603,0,21748401,77311,5334459,2697664,67577003,0,34753225,0,0,0,0,0
146,5770311749891783580,12008452308575766238,30383,31445,31591,2696183,30300439,3351,43563,59466,59466,0,3984222,43563,3005847,2012480,42030762,0,30300439,0,0,0,0,0
147,15785516674910074395,11053004304439769334,22882,23944,24537,2432889,25243322,2207,28691,32575,32575,0,2182525,28691,1979679,1532416,33395368,0,25243322,0,0,0,0,0
148,13721158072033547493,15541261378078459544,40810,41873,41349,3138949,34767018,5836,75868,428957,428957,0,28740119,75868,5234918,2679872,74602225,0,34765926,1092,0,0,0,0
149,17324773251166613531,9946066183996860796,22219,23281,23844,2270645,24872328,2157,28041,32449,32449,0,2174083,28041,1934829,1489984,32765713,0,24872328,0,0,0,0,0
150,562156214216318010,245996296028465657,41491,42554,41959,3024316,34852415,6137,79781,517150,517150,0,34649050,79781,5504889,2723456,80796085,0,34852415,0,0,0,0,0
151,9961359178523252267,18309433531818418401,37378,38443,38178,3072775,33198178,4981,64753,373600,373600,0,25031200,64753,4467957,2460352,68268640,0,33198178,0,0,0,0,0
152,15648529573482083226,7851261184791914452,14571,15634,16719,1728587,18276739,1310,17030,18384,18384,0,1231728,17030,1175070,1000576,23429419,0,18276739,0,0,0,0,0
153,5720364722347541976,15850302087332571123,40185,41248,40824,3066962,34526791,5598,72774,352032,352032,0,23586144,72774,5021406,2639872,68881999,0,34526791,0,0,0,0,0
154,1849194904166726695,626176201204369175,42144,43206,42541,3225211,34902868,6429,83577,524038,524038,0,35110546,83577,5766813,2765184,81813163,0,34902868,0,0,0,0,0
